name,issns,active,withdrawn_date,withdrawal_reason
UMYU Journal of Microbiology Research,2814-1822;2616-0668,true,,
UMYU Scientifica,2955-1153;2955-1145,true,,
University of Dar es Salaam Library Journal,2953-2515;0856-1818,true,,
Wadi Alshatti University Journal of Pure and Applied Sciences,3006-0877,true,,
Water SA,1816-7950;0378-4738,true,,
Western Nigeria Journal of Medical Sciences,2814-0109,true,,
World Journal of Applied Science & Technology,2141-3290,true,,
World Journal of Biomedical Research,2536-6645;2384-5805,true,,
Yesterday and Today,2223-0386;2309-9003,true,,
Zagazig Journal of Pharmaceutical Sciences,2356-9786;1110-5089,true,,
Zimbabwe Journal of Science and Technology,2409-0360;1810-0341,true,,
Bangladesh Journal of Medical Science,2223-4721;2076-0299,true,,
Bangladesh Journal of Pharmacology,1991-0088,true,,
Bangladesh Journal of Plant Taxonomy,1028-2092;2224-7297,true,,
Bangladesh Journal of Scientific and Industrial Research,0304-9809;2224-7157,true,,
Journal of Advanced Veterinary and Animal Research,2311-7710,true,,
Journal of Medicine,1997-9797;2075-5384,true,,
Mediscope,2307-7689;2616-6054,true,,
Update Dental College Journal,2226-8715;2307-3160,true,,
ALERTA: Revista Científica del Instituto Nacional de Salud,2617-5274,true,,
Ciencia e Interculturalidad,1997-9231;2223-6260,true,,
Innovare: Revista de ciencia y tecnología,2310-290X,true,,
La Calera,1998-7846;1998-8850,true,,
Paradigma: Revista de investigación educativa,1817-4221;2664-5033,true,,
Población y Desarrollo - Argonautas y caminantes,2221-7002;2709-8826,true,,
Revista Ciencia y Tecnología El Higo,2413-1911;2413-192X,true,,
Revista de Ciencias Forenses de Honduras,2013-1067;2412-8058,true,,
Revista Torreón Universitario,2410-5708;2313-7215,true,,
Mongolian Geoscientist,2220-0622;2663-5151,true,,
Mongolian Journal of Chemistry,2226-6739;2414-0082,true,,
Proceedings of the Mongolian Academy of Sciences,2310-4716;2312-2994,true,,
Asian Journal of Medical Sciences,2091-0576;2467-9100,true,,
Banko Janakari,1016-0582;2631-2301,true,,
BIBECHANA,2091-0762;2382-5340,true,,
Birat Journal of Health Sciences,2542-2758;2542-2804,true,,
Europasian Journal of Medical Sciences,2717-4654;2717-4646,true,,
Geographical Journal of Nepal,0259-0948;2565-4993,true,,
International Journal of Environment,2091-2854,true,,
Journal of Advances in Internal Medicine,2091-1432;2091-1440,true,,
Journal of Agriculture and Natural Resources,2661-6270;2661-6289,true,,
Journal of College of Medical Sciences-Nepal,2091-0657;2091-0673,true,,
Journal of Education and Research,2091-0118;2091-2560,true,,
Journal of Institute of Science and Technology,2467-9062;2467-9240,true,,
Journal of Lumbini Medical College,2392-4632;2542-2618,true,,
Journal of Nepal Agricultural Research Council,2392-4535;2392-4543,true,,
Journal of Nepal Mathematical Society,2616-0153;2616-0161,true,,
Journal of Nepal Paediatric Society,1990-7974;1990-7982,true,,
Journal of Nobel Medical College,2091-2331;2091-234X,true,,
Journal of Political Science,2362-1273;2773-8132,true,,
Journal of Society of Anesthesiologists of Nepal,2362-1281;2467-9119,true,,
Journal of Society of Surgeons of Nepal,1815-3984;2392-4772,true,,
Journal of Universal College of Medical Sciences,2091-2846;2350-8582,true,,
Medical Journal of Shree Birendra Hospital,2091-0185;2091-0193,true,,
Nepal Journal of Biotechnology,2091-1130;2467-9313,true,,
"Nepal Journal of Dermatology, Venereology & Leprology",2091-0231;2091-167X,true,,
Nepal Journal of Environmental Science,2350-8647;2542-2901,true,,
Nepal Journal of Epidemiology,2091-0800,true,,
Nepalese Heart Journal,2091-2978;2382-5464,true,,
